TRKLEN,TRACK NAME,FROM_MEASURE,TO_MEASURE
900,N2,58500,59400
790,N1,74390,75180
470,N1,71720,72190
371,N2,68142,68513
129,N2,53783,53911.5
134,N2,100916,101050
976,N1,96475,97451
975,N1,95500,96475
600,N2,68975,69575
410,N1,57274,57684
159,N1,108279,108438
134,N2,56538.5,56673
443,N2,62402,62845
160,N1,109255.5,109415
692,N2,60300,60992
305,N2,66135,66440
387,N1,99460,99847
396,N1,89766,90162
150,N1,53885,54035
280,N2,61680,61960
415,N1,53045,53460
600,N2,76511,77111
900,N2,59400,60300
139,N1,56539,56673
517,N1,60933,61450
486,N2,52006,52492
900,N1,106150,107050
231,N2,77660,77891
706,N1,90162,90868
135,N2,56404,56538.5
600,N1,107367,107967
305,N1,66135,66440
1021,N1,82200,83221
153,N1,107967,108120
835,N2,83850,84685
121,N2,77891,78011.5
903,N2,89766,90669
134,N1,101049.5,101184
760,N2,54040,54800
731,N2,75780,76511
944,N1,91575,92519
943,N2,92517,93460
125,N2,64458,64583
300,N2,71450,71750
610,N1,73780,74390
139,N1,89498,89632
585,N2,86755,87340
979,N2,102161,103140
603,N2,63730,64333
140,N1,49107.91,49272
531,N2,79325,79856
789,N1,87640,88429
600,N1,65535,66135
134,N2,101050,101184
669,N1,63051,63720
660,N2,93820,94480
568,N1,56111.5,56137
795,N2,51211,52006
1027,N1,52910.66,53045
790,N1,88429,88960.25
250,B2,14673,14923
197,B2,12978,13175
195,B2,13491,13686
247,B2,11406,11605
506,B2,11820,12324
596,J2,52024,52620
350,B2,11001,11406
656,B2,12324,12978
215,B2,11605,11820
320,B2,13175,13491
980,B2,13686,14673
468,J1,56125,56561
580,B1,11645,12233
107,B1,12233,12328
366,B1,73282,73649
362,B1,14443,14805
450,J1,58000,58450
840,J1,75730,76570
716,J2,85579,86295
737,J2,84117,84854
1336,J1,50274,51610
600,J2,68840,69440
708,J2,86295,87003
109,J2,87423,87532
910,J1,88401,89334.5
845,J2,73199,74044
906,B1,13126,14031
120,B1,73153,73282
202,B2,71659,71860
609,B1,14805,15414
197,B1,12328,12525
55,B2,71861,71915
204,B1,12920,13126
412,B1,14031,14443
600,B1,71915,72515
399,B1,12525,12920
248,B1,72515,72794
200,B1,11444,11645
494,B1,10950,11444
213,A2,94780,94993.4
1193,G2,64116,65330
1028,G1,64292,65330
91,A2,3609,3661
0,N1,110479,110502.83
320,F1,54599,54919
600,D1,59350,59950
0,N1,48818.26,49107.91
91,A2,3661,3752
841,C1,62888,63729.5
0,E1,68288,68320
271,A1,5413,5630
604,L2,24965.86,25566.03
146,A2,5415,5485
107,J1,56650,56757
58,G2,54981,55040
557,G1,43421,43978
600,G2,62296,62896
365,G1,60650,61015
832,G1,28526,29360
660,F1,36331,36990
209,K1,77426,77635
590,F2,35770,36351
345,F1,31215,31560
128,K1,21590,21718
104,F1,4375,4474
143,K1,28873,29016
1493,K1,54779,56272
151,K1,48944,49095
205,K1,29381,29586
409,K1,18117,18526
600,K1,77688,78288
116,K1,14694,14810
329,K1,50530,50852
980,K1,31891,32871
146,K1,78288,78433
54,K1,24727,24781
887,K1,60243,61130
587,A2,40000,40587
52,A2,94128,94180
629,A2,70434,71063
569,A2,81073,81642
224,A2,3383,3609
1098,A2,34090,35188
896,A2,23804,24700
590,A2,64750,65340
555,A2,78330,78885
177,A2,30525,30702
413,A2,38385,38798
140,A2,20460,20600
735,A2,26580,27315
702,A2,23102,23804
513,A2,61922,62435
381,A2,1005,1386
475,A2,28670,29145
288,A2,19102,19390
590,A2,74990,75580
645,A2,54500,55145
630,A2,7980.12,8640
757,A2,41206,41963
103,A2,56958,57085
426,A2,91808,92234
278,A2,2866,3144
234,D1,4257,4491
68,D2,8352,8420
1089,A1,67185,67814.21
259,A2,58038,58312
1176,A1,54273.41,54800
1053,A1,52579,53530.82
813,A1,11217.67,11647
756,D1,55312,56068
209,D1,5786,5996
1004,D1,38394,38757.73
336,D1,53193,53529
515,D1,39935,40450
382,D1,49700,50082
173,D1,30075,30248
637,D1,19909,20546
450,D1,43300,43750
485,D2,34828,35310
91,D1,27196,27287
188,D1,32757,32945
890,D1,45100,45990
116,D2,27088,27196
171,D1,1072,1243
146,D1,30248,30394
264,D2,38130,38394
500,D1,37200,37700
267,D1,52549,52816
91,D1,28050,28141
132,D2,14470,14602
484,D1,17396,17880
289,D1,29786,30075
138,C1,25645,25774
744,A1,83245.45,83439
115,D1,27111,27196
500,C2,44575,45075
50,C1,29670,29720
190,D1,58942,59132
771,D1,53529,54300
152,D1,14166,14318
199,D2,32996,33195
589,D1,22582,23171
344,D1,10050,10394
370,D2,2647,3017
902,D1,28658,29560
450,D1,56068,56518
600,D2,36233,36833
366,D1,32945,33311
324,D2,30698,31022
600,D1,10804,11404
256,D2,5107,5363
149,D1,28377,28526
153,D1,30394,30547
218,D1,59132,59350
202,D2,52557,52759
449,D1,5337,5786
174,D2,3017,3191
662,D1,34318,34980
341,D2,32170,32511
305,D1,3952,4257
152,D2,3191,3324.02
766,D1,44334,45100
183,D2,10467,10650
1118,B1,23353,24471
1142,B1,49858,51000
383,B2,62200,62582
400,B2,61800,62200
380,B1,29170,29550
126.5,B1,8841,8967.5
540,B1,70560,71100
119,B1,43906,44025
735,B2,4165,4593.79
630,B1,35414,36062
443,B1,38211,38654
182,B1,45895,46077
647,B1,63753,64400
291,B2,2624,2814.69
1260,B1,59500,60760
336,B1,43570,43906
396,B2,73284,73680.18
242,B1,63511,63753
228,B2,7701,7900
231,B1,42989,43220
126,B2,8720,8846
55,B1,71861,71915
676,B2,46077,46166.7
515,A2,63030,63545
600,A2,3835,4435
600,A2,80025,80625
916,A2,31550,32466
618,A2,21458,22076
873,A2,60650,61523
453,A1,78700,79153
1289,A1,46671,47960
88,A1,56872,56960
171,A1,19390,19560
600,A1,0,300
600,K1,40904,41504
153,K1,23212,23365
517,K1,41930,42447
117,K1,26686,26803
204,K1,24092,24296
100,K1,22158,22258
358,B1,36062,36420
600,B1,20473,21073
139,B2,56204,56223.81
240,B1,54970,55210
486,B1,42503,42989
741,B1,66866,67607
823,B1,31993,32816
716,B2,69041,69757
142,B1,17362,17494
236,B2,63277,63511
822,B1,31171,31993
350,B1,43220,43570
291,B2,2802.04,2912
347,B2,22825.49,23069
89,B1,35325,35414
888,B1,40006,40894
565,B2,64820,65385
350,B1,52800,53150
120,B1,72794,72909
676,B2,46174.8,46761
120,B1,72909,73025
192,B2,8258,8450
311,B2,15747.87,15920
271,B2,8450,8720
243,B1,2802.04,2912
515,A2,78885,79400
177,A2,30702,30879
518,A2,20600,21118
52,A2,70040,70092
406,A2,7646,8022.49
619,A2,40587,41206
400,A2,6140,6540
792,A2,85228,86020
820,A2,73350,74170
454,A2,52579,53033
269,A2,5871,6140
596,A2,84632,85228
400,A2,12400,12800
894,A2,87912,88806
647,A2,71063,71710
